# energy(eV) alpha
3.121799999999999908e+00 3.151786369260880960e+00
3.135299999999999976e+00 3.158324767662338051e+00
3.148899999999999810e+00 3.165025240779931526e+00
3.162500000000000089e+00 3.171903158760781771e+00
3.176099999999999923e+00 3.178972551507831756e+00
3.189599999999999991e+00 3.186244674554706169e+00
3.203199999999999825e+00 3.193726388388683723e+00
3.216800000000000104e+00 3.201418452981057872e+00
3.230300000000000171e+00 3.209313878502564776e+00
3.243900000000000006e+00 3.217396483587400713e+00
3.257499999999999840e+00 3.225639797029719702e+00
3.271100000000000119e+00 3.234006434826439236e+00
3.284600000000000186e+00 3.242448067300474079e+00
3.298200000000000021e+00 3.250906023472812656e+00
3.311799999999999855e+00 3.259312529969529582e+00
3.325400000000000134e+00 3.267592521647590509e+00
3.338900000000000201e+00 3.275665919897856160e+00
3.352500000000000036e+00 3.283450218779820240e+00
3.366099999999999870e+00 3.290863191678054633e+00
3.379599999999999937e+00 3.297825550987374843e+00
3.393200000000000216e+00 3.304263386535006397e+00
3.406800000000000050e+00 3.310110223680635677e+00
3.420399999999999885e+00 3.315308609267634044e+00
3.433899999999999952e+00 3.319811167039814492e+00
3.447499999999999787e+00 3.323581117704188959e+00
3.461100000000000065e+00 3.326592296798550397e+00
3.474699999999999900e+00 3.328828740712037604e+00
3.488199999999999967e+00 3.330283934528293077e+00
3.501799999999999802e+00 3.330959822676811122e+00
3.515400000000000080e+00 3.330865690421979330e+00
3.528999999999999915e+00 3.330016989331540334e+00
3.542499999999999982e+00 3.328434181660933522e+00
3.556099999999999817e+00 3.326141648936547401e+00
3.569700000000000095e+00 3.323166689816720698e+00
3.583200000000000163e+00 3.319538608775795652e+00
3.596799999999999997e+00 3.315287891928671904e+00
3.610399999999999832e+00 3.310445431986505316e+00
3.624000000000000110e+00 3.305041782799309491e+00
3.637500000000000178e+00 3.299106496022214063e+00
3.651100000000000012e+00 3.292667504440727644e+00
3.664699999999999847e+00 3.285750705335568345e+00
3.678300000000000125e+00 3.278379248144043689e+00
3.691800000000000193e+00 3.270573103532787407e+00
3.705400000000000027e+00 3.262348742324971074e+00
3.718999999999999861e+00 3.253718959043821801e+00
3.732499999999999929e+00 3.244692860158824743e+00
3.746100000000000207e+00 3.235276015650226711e+00
3.759700000000000042e+00 3.225470858184899647e+00
3.773299999999999876e+00 3.215277328973518145e+00
3.786799999999999944e+00 3.204693719132785112e+00
3.800399999999999778e+00 3.193717664653468180e+00
3.814000000000000057e+00 3.182347339604901126e+00
3.827599999999999891e+00 3.170582849771954592e+00
3.841099999999999959e+00 3.158427738192362888e+00
3.854699999999999793e+00 3.145890564875149842e+00
3.868300000000000072e+00 3.132986500920377004e+00
3.881800000000000139e+00 3.119738853540458656e+00
3.895399999999999974e+00 3.106180429082008310e+00
3.908999999999999808e+00 3.092354612599717889e+00
3.922600000000000087e+00 3.078316039226085543e+00
3.936100000000000154e+00 3.064130725886166751e+00
3.949699999999999989e+00 3.049875533640787673e+00
3.963299999999999823e+00 3.035636867796909222e+00
3.976900000000000102e+00 3.021508573372332584e+00
3.990400000000000169e+00 3.007589016390803671e+00
4.003999999999999559e+00 2.993977451969741743e+00
4.017599999999999838e+00 2.980769848780794540e+00
4.031100000000000350e+00 2.968054422814985216e+00
4.044699999999999740e+00 2.955907201032607734e+00
4.058300000000000018e+00 2.944387991430521545e+00
4.071900000000000297e+00 2.933537140970682522e+00
4.085399999999999920e+00 2.923373371018380684e+00
4.099000000000000199e+00 2.913892827131979946e+00
4.112599999999999589e+00 2.905069616011846101e+00
4.126199999999999868e+00 2.896857804667675396e+00
4.139700000000000379e+00 2.889194625245883774e+00
4.153299999999999770e+00 2.882004687771871687e+00
4.166900000000000048e+00 2.875204816761506965e+00
4.180500000000000327e+00 2.868709121143607099e+00
4.193999999999999950e+00 2.862433936984775329e+00
4.207600000000000229e+00 2.856302344560423201e+00
4.221199999999999619e+00 2.850248006565360370e+00
4.234700000000000131e+00 2.844218182591010446e+00
4.248300000000000409e+00 2.838175849809100093e+00
4.261899999999999800e+00 2.832100941273357098e+00
4.275500000000000078e+00 2.825990748655606843e+00
4.288999999999999702e+00 2.819859567803978173e+00
4.302599999999999980e+00 2.813737669835200794e+00
4.316200000000000259e+00 2.807669666570288491e+00
4.329799999999999649e+00 2.801712351578061977e+00
4.343300000000000161e+00 2.795932073832974929e+00
4.356900000000000439e+00 2.790401706982079677e+00
4.370499999999999829e+00 2.785197297809307138e+00
4.384000000000000341e+00 2.780394509475578424e+00
4.397599999999999731e+00 2.776065004414221438e+00
4.411200000000000010e+00 2.772272951172503941e+00
4.424800000000000288e+00 2.769071870960814863e+00
4.438299999999999912e+00 2.766502048189743324e+00
4.451900000000000190e+00 2.764588644658859895e+00
4.465499999999999581e+00 2.763340541060483879e+00
4.479099999999999859e+00 2.762750712898146777e+00
4.492600000000000371e+00 2.762797221456195551e+00
4.506199999999999761e+00 2.763445151010704315e+00
4.519800000000000040e+00 2.764649333382270591e+00
4.533299999999999663e+00 2.766357598154291608e+00
4.546899999999999942e+00 2.768514306525097002e+00
4.560500000000000220e+00 2.771063781096030798e+00
4.574099999999999611e+00 2.773953465058584644e+00
4.587600000000000122e+00 2.777136670627898596e+00
4.601200000000000401e+00 2.780574710992158138e+00
4.614799999999999791e+00 2.784238346837438094e+00
4.628400000000000070e+00 2.788108589892384082e+00
4.641899999999999693e+00 2.792177057206524982e+00
4.655499999999999972e+00 2.796445463340476500e+00
4.669100000000000250e+00 2.800924858923894867e+00
4.682599999999999874e+00 2.805634654910922343e+00
4.696200000000000152e+00 2.810601513313994548e+00
4.709800000000000431e+00 2.815858234741212218e+00
4.723399999999999821e+00 2.821442678832730255e+00
4.736900000000000333e+00 2.827396778168066227e+00
4.750499999999999723e+00 2.833765543845080614e+00
4.764100000000000001e+00 2.840596448822232833e+00
4.777700000000000280e+00 2.847938892859041449e+00
4.791199999999999903e+00 2.855843878775160327e+00
4.804800000000000182e+00 2.864363625488400622e+00
4.818399999999999572e+00 2.873550415283482096e+00
4.831900000000000084e+00 2.883456946563855539e+00
4.845500000000000362e+00 2.894136139911636540e+00
4.859099999999999753e+00 2.905640022149373003e+00
4.872700000000000031e+00 2.918016360585105051e+00
4.886199999999999655e+00 2.931307689754754087e+00
4.899799999999999933e+00 2.945549935559187649e+00
4.913400000000000212e+00 2.960767886186321807e+00
4.926999999999999602e+00 2.976971174168995482e+00
4.940500000000000114e+00 2.994149995967909650e+00
4.954100000000000392e+00 3.012270597223063895e+00
4.967699999999999783e+00 3.031270933781215593e+00
4.981300000000000061e+00 3.051056854609339730e+00
4.994799999999999685e+00 3.071499241927933443e+00
5.008399999999999963e+00 3.092431891714618963e+00
