# energy(eV) alpha
2.086199999999999832e+00 2.480008997845816854e+00
2.108600000000000030e+00 2.475429924059394882e+00
2.130999999999999783e+00 2.471090369061459846e+00
2.153500000000000192e+00 2.468362949720954269e+00
2.175899999999999945e+00 2.469543352331224462e+00
2.198300000000000143e+00 2.475354545931715666e+00
2.220800000000000107e+00 2.484159693480673781e+00
2.243199999999999861e+00 2.494984960502466542e+00
2.265600000000000058e+00 2.507763370562097194e+00
2.288100000000000023e+00 2.523366769679694421e+00
2.310500000000000220e+00 2.543745488702532143e+00
2.332899999999999974e+00 2.575020936859876652e+00
2.355399999999999938e+00 2.608869146087613444e+00
2.377800000000000136e+00 2.611259164093504115e+00
2.400199999999999889e+00 2.606567580025668907e+00
2.422699999999999854e+00 2.622224219716143168e+00
2.445100000000000051e+00 2.629592229298419070e+00
2.467499999999999805e+00 2.637587405479424607e+00
2.490000000000000213e+00 2.651992435766708844e+00
2.512399999999999967e+00 2.671213628204994084e+00
2.534800000000000164e+00 2.691048208207343695e+00
2.557300000000000129e+00 2.709640978897232433e+00
2.579699999999999882e+00 2.726433090703443973e+00
2.602100000000000080e+00 2.742269057684551647e+00
2.624600000000000044e+00 2.756996142222954749e+00
2.646999999999999797e+00 2.769743060563778503e+00
2.669399999999999995e+00 2.781030832848970125e+00
2.691899999999999959e+00 2.780076782919808309e+00
2.714300000000000157e+00 2.759873254734946713e+00
2.736699999999999910e+00 2.751798593464134690e+00
2.759100000000000108e+00 2.736229573510694735e+00
2.781600000000000072e+00 2.709831429501960987e+00
2.803999999999999826e+00 2.665519397899836385e+00
2.826400000000000023e+00 2.626586313647281568e+00
2.848899999999999988e+00 2.614738545806547521e+00
2.871300000000000185e+00 2.606615917615168421e+00
2.893699999999999939e+00 2.603518102339390072e+00
2.916199999999999903e+00 2.602065443495205965e+00
2.938600000000000101e+00 2.602052264887793953e+00
2.960999999999999854e+00 2.603193110099500274e+00
2.983499999999999819e+00 2.603976658369585806e+00
3.005900000000000016e+00 2.605561574075546893e+00
3.028300000000000214e+00 2.608435271251159815e+00
3.050800000000000178e+00 2.611338185078377450e+00
3.073199999999999932e+00 2.614344013081705942e+00
3.095600000000000129e+00 2.618285788959686222e+00
3.118100000000000094e+00 2.624582046182878603e+00
3.140499999999999847e+00 2.634493798484865312e+00
3.162900000000000045e+00 2.648787583299990089e+00
3.185400000000000009e+00 2.656002356090997107e+00
3.207800000000000207e+00 2.637709660058806804e+00
3.230199999999999960e+00 2.616068500335601676e+00
3.252699999999999925e+00 2.607242263928208459e+00
3.275100000000000122e+00 2.615125706003960104e+00
3.297499999999999876e+00 2.629278953123939111e+00
3.319900000000000073e+00 2.656308422041828710e+00
3.342400000000000038e+00 2.691066475521930901e+00
3.364799999999999791e+00 2.725265128079202626e+00
3.387199999999999989e+00 2.760608511063826320e+00
3.409699999999999953e+00 2.800293147262633120e+00
3.432100000000000151e+00 2.836178851867576789e+00
3.454499999999999904e+00 2.858984376251969994e+00
3.476999999999999869e+00 2.872432908068459856e+00
3.499400000000000066e+00 2.884565428012809463e+00
3.521799999999999820e+00 2.892638358376901753e+00
3.544299999999999784e+00 2.900354261772176478e+00
3.566699999999999982e+00 2.914397966048120736e+00
3.589100000000000179e+00 2.926669255018359284e+00
3.611600000000000144e+00 2.936611512359626808e+00
3.633999999999999897e+00 2.936644441091414315e+00
3.656400000000000095e+00 2.930690620417113479e+00
3.678900000000000059e+00 2.921691716291273444e+00
3.701299999999999812e+00 2.916203768262338958e+00
3.723700000000000010e+00 2.916561726904263629e+00
3.746199999999999974e+00 2.918183809838080123e+00
3.768600000000000172e+00 2.912079585785202429e+00
3.790999999999999925e+00 2.896060155572510730e+00
3.813499999999999890e+00 2.883741198834925079e+00
3.835900000000000087e+00 2.881496219000129422e+00
3.858299999999999841e+00 2.888497337615574256e+00
3.880799999999999805e+00 2.891798308410040708e+00
3.903200000000000003e+00 2.895583375365139212e+00
3.925600000000000200e+00 2.901492947061451222e+00
3.947999999999999954e+00 2.908713445133219722e+00
3.970499999999999918e+00 2.915106029146282474e+00
3.992900000000000116e+00 2.920270874639757430e+00
4.015299999999999869e+00 2.929891004779163755e+00
4.037799999999999834e+00 2.934165014211093769e+00
4.060200000000000031e+00 2.936267099038996520e+00
4.082600000000000229e+00 2.922751660695918297e+00
4.105100000000000193e+00 2.902975753959013083e+00
4.127500000000000391e+00 2.871136051924505495e+00
4.149899999999999700e+00 2.810211999384142345e+00
4.172399999999999665e+00 2.766039868471511287e+00
4.194799999999999862e+00 2.744516542606370013e+00
4.217200000000000060e+00 2.735928044474148724e+00
4.239700000000000024e+00 2.739995912918136600e+00
4.262100000000000222e+00 2.749365268815875396e+00
4.284500000000000419e+00 2.765745159602087000e+00
4.307000000000000384e+00 2.793281157018526972e+00
4.329399999999999693e+00 2.825170347166852558e+00
4.351799999999999891e+00 2.847831950818023650e+00
4.374299999999999855e+00 2.871249780706599530e+00
4.396700000000000053e+00 2.891528630600827654e+00
