# energy(eV) alpha
1.413200000000000012e+00 3.024570861398260480e+00
1.435699999999999976e+00 2.983775585570910494e+00
1.458099999999999952e+00 2.941630978100023164e+00
1.480499999999999927e+00 2.895910361421781598e+00
1.502999999999999892e+00 2.841336913816699283e+00
1.525400000000000089e+00 2.764321442157337216e+00
1.547800000000000065e+00 2.652409374584892898e+00
1.570200000000000040e+00 2.554381411267263147e+00
1.592700000000000005e+00 2.537628117751854706e+00
1.615099999999999980e+00 2.565262297625436894e+00
1.637499999999999956e+00 2.591051255038335555e+00
1.659999999999999920e+00 2.612614631165171897e+00
1.682399999999999896e+00 2.630563610520192608e+00
1.704800000000000093e+00 2.644610946452516931e+00
1.727300000000000058e+00 2.653006087660908729e+00
1.749700000000000033e+00 2.653584749472218007e+00
1.772100000000000009e+00 2.649163573856700982e+00
1.794599999999999973e+00 2.643414667273009666e+00
1.816999999999999948e+00 2.638547276415417642e+00
1.839399999999999924e+00 2.634173869395364243e+00
1.861900000000000110e+00 2.628867474193874454e+00
1.884300000000000086e+00 2.621093619597359758e+00
1.906700000000000061e+00 2.610543033832272375e+00
1.929200000000000026e+00 2.597163709018574629e+00
1.951600000000000001e+00 2.580751657777457631e+00
1.973999999999999977e+00 2.559436283657491984e+00
1.996499999999999941e+00 2.534566598299646589e+00
2.018899999999999917e+00 2.526583904923365598e+00
2.041300000000000114e+00 2.518410471637470227e+00
2.063800000000000079e+00 2.510446792810951955e+00
2.086199999999999832e+00 2.502494161895609803e+00
2.108600000000000030e+00 2.494681692740845502e+00
2.130999999999999783e+00 2.487474108264170702e+00
2.153500000000000192e+00 2.482510780627791291e+00
2.175899999999999945e+00 2.482336729715765244e+00
2.198300000000000143e+00 2.487502638588973358e+00
2.220800000000000107e+00 2.496007337179417807e+00
2.243199999999999861e+00 2.506663367741605253e+00
2.265600000000000058e+00 2.519348503462551125e+00
2.288100000000000023e+00 2.534983832060987652e+00
2.310500000000000220e+00 2.555616969254373316e+00
2.332899999999999974e+00 2.587678791439663506e+00
2.355399999999999938e+00 2.623667641032373155e+00
2.377800000000000136e+00 2.626008125330397291e+00
2.400199999999999889e+00 2.618968781686932701e+00
2.422699999999999854e+00 2.634768039961569830e+00
2.445100000000000051e+00 2.642667122731509277e+00
2.467499999999999805e+00 2.651553972628192479e+00
2.490000000000000213e+00 2.666590347138657613e+00
2.512399999999999967e+00 2.685925056420335633e+00
2.534800000000000164e+00 2.705619413986716015e+00
2.557300000000000129e+00 2.723997880287791773e+00
2.579699999999999882e+00 2.740684209428084550e+00
2.602100000000000080e+00 2.756519264500269184e+00
2.624600000000000044e+00 2.771301878188826340e+00
2.646999999999999797e+00 2.783993462871707347e+00
2.669399999999999995e+00 2.794810393475201327e+00
2.691899999999999959e+00 2.792688536554855716e+00
2.714300000000000157e+00 2.770479898922321382e+00
2.736699999999999910e+00 2.760537051662111718e+00
2.759100000000000108e+00 2.743472807622833631e+00
