# energy(eV) alpha
1.884300000000000086e+00 2.291329383024329727e+05
1.906700000000000061e+00 2.291969209298602364e+05
1.929200000000000026e+00 2.295110057405217085e+05
1.951600000000000001e+00 2.298935691181528382e+05
1.973999999999999977e+00 2.303316274616151641e+05
1.996499999999999941e+00 2.265480234987030271e+05
2.018899999999999917e+00 2.248048759367114399e+05
2.041300000000000114e+00 2.230826880286281521e+05
2.063800000000000079e+00 2.214095306219387858e+05
2.086199999999999832e+00 2.196012526476816274e+05
2.108600000000000030e+00 2.175061055435427988e+05
2.130999999999999783e+00 2.148328313295081898e+05
2.153500000000000192e+00 2.113138402024499665e+05
2.175899999999999945e+00 2.072629151764603739e+05
2.198300000000000143e+00 2.035056073124914838e+05
2.220800000000000107e+00 2.001510661459101539e+05
2.243199999999999861e+00 1.970564154853418004e+05
2.265600000000000058e+00 1.940062475209689292e+05
2.288100000000000023e+00 1.909350153231441218e+05
2.310500000000000220e+00 1.876376610516025394e+05
2.332899999999999974e+00 1.842673620719176251e+05
2.355399999999999938e+00 1.934068051180953335e+05
2.377800000000000136e+00 2.008022130460962653e+05
2.400199999999999889e+00 1.956252077971239050e+05
2.422699999999999854e+00 1.980583341579432308e+05
2.445100000000000051e+00 1.991350206811850367e+05
2.467499999999999805e+00 1.982894815682797052e+05
2.490000000000000213e+00 1.976141057271000464e+05
2.512399999999999967e+00 1.986791185404124844e+05
2.534800000000000164e+00 2.012119984068864724e+05
2.557300000000000129e+00 2.049181828122563602e+05
2.579699999999999882e+00 2.092423883979100792e+05
2.602100000000000080e+00 2.142426027461329068e+05
2.624600000000000044e+00 2.205944637662881578e+05
2.646999999999999797e+00 2.275783928819636640e+05
2.669399999999999995e+00 2.371603490595618496e+05
2.691899999999999959e+00 2.528949484765156230e+05
2.714300000000000157e+00 2.567909075261584658e+05
2.736699999999999910e+00 2.652783790724733844e+05
2.759100000000000108e+00 2.741336154240777832e+05
2.781600000000000072e+00 2.848101505405002972e+05
2.803999999999999826e+00 2.875436073621110409e+05
2.826400000000000023e+00 2.787890373974497197e+05
2.848899999999999988e+00 2.750591725837709382e+05
2.871300000000000185e+00 2.713247319413984078e+05
2.893699999999999939e+00 2.688890803923961357e+05
2.916199999999999903e+00 2.670216710514135775e+05
2.938600000000000101e+00 2.654292888494043727e+05
2.960999999999999854e+00 2.646698505039447919e+05
2.983499999999999819e+00 2.638210459484683233e+05
3.005900000000000016e+00 2.627227886022391613e+05
3.028300000000000214e+00 2.621537925711797434e+05
3.050800000000000178e+00 2.617369763734856679e+05
3.073199999999999932e+00 2.611297356287069852e+05
3.095600000000000129e+00 2.600982801996625785e+05
3.118100000000000094e+00 2.589824885892852617e+05
3.140499999999999847e+00 2.581350155948104511e+05
3.162900000000000045e+00 2.598685869386474660e+05
3.185400000000000009e+00 2.715873319644298754e+05
3.207800000000000207e+00 2.754531310770001728e+05
3.230199999999999960e+00 2.705834410013688612e+05
3.252699999999999925e+00 2.595387483239680005e+05
3.275100000000000122e+00 2.521531246454646753e+05
3.297499999999999876e+00 2.425262841879382322e+05
3.319900000000000073e+00 2.346829400151700538e+05
3.342400000000000038e+00 2.321215861898982839e+05
3.364799999999999791e+00 2.322001558722032059e+05
3.387199999999999989e+00 2.322462521622643399e+05
3.409699999999999953e+00 2.366954753113310144e+05
3.432100000000000151e+00 2.480864784245642368e+05
3.454499999999999904e+00 2.610256010957878025e+05
3.476999999999999869e+00 2.702872414079649025e+05
3.499400000000000066e+00 2.800327255960209877e+05
3.521799999999999820e+00 2.893797150245853700e+05
3.544299999999999784e+00 2.942637814424982644e+05
3.566699999999999982e+00 3.032954987332275487e+05
3.589100000000000179e+00 3.125372437791703851e+05
3.611600000000000144e+00 3.265340224005864584e+05
3.633999999999999897e+00 3.393444056317298091e+05
3.656400000000000095e+00 3.505168936064424925e+05
3.678900000000000059e+00 3.579795875788705307e+05
3.701299999999999812e+00 3.630970762660922483e+05
3.723700000000000010e+00 3.692810898321650457e+05
3.746199999999999974e+00 3.793329299996742047e+05
3.768600000000000172e+00 3.915260180844197166e+05
3.790999999999999925e+00 3.971462209759077523e+05
3.813499999999999890e+00 3.983893481981412042e+05
3.835900000000000087e+00 3.974365146164306789e+05
3.858299999999999841e+00 4.031343542770309723e+05
3.880799999999999805e+00 4.085987423639303888e+05
