# energy(eV) alpha
1.681300000000000017e+00 1.469757200184236572e+05
1.700399999999999912e+00 1.504942332676727965e+05
1.719500000000000028e+00 1.524551716968757391e+05
1.738599999999999923e+00 1.531640530318940582e+05
1.757700000000000040e+00 1.552784325283940707e+05
1.776799999999999935e+00 1.579271589366953995e+05
1.795900000000000052e+00 1.606575177987107891e+05
1.814999999999999947e+00 1.631190134792031895e+05
1.834100000000000064e+00 1.667862256887246913e+05
1.853199999999999958e+00 1.716494360911107797e+05
1.872300000000000075e+00 1.770809753472568409e+05
1.891399999999999970e+00 1.790276607229416259e+05
1.910500000000000087e+00 1.813308388247347903e+05
1.929599999999999982e+00 1.847344787650271610e+05
1.948700000000000099e+00 1.895001563167464919e+05
1.967899999999999983e+00 1.949376907210193167e+05
1.987000000000000099e+00 1.992468524292921647e+05
2.006099999999999994e+00 2.028316053713592410e+05
2.025199999999999889e+00 2.072253999943318486e+05
2.044299999999999784e+00 2.118511167970447277e+05
2.063400000000000123e+00 2.161604398252792889e+05
2.082500000000000018e+00 2.206989318285516056e+05
2.101599999999999913e+00 2.255783789797034406e+05
2.120699999999999807e+00 2.371047264373386279e+05
2.139800000000000146e+00 2.426596872830510547e+05
2.158900000000000041e+00 2.468836063970404211e+05
2.177999999999999936e+00 2.504939985412273963e+05
2.197099999999999831e+00 2.519606200998720014e+05
2.216200000000000170e+00 2.508774011072408466e+05
2.235300000000000065e+00 2.481904240394629014e+05
2.254399999999999959e+00 2.441272851367825642e+05
2.273499999999999854e+00 2.389219748430383333e+05
2.292600000000000193e+00 2.330235979497833177e+05
2.311700000000000088e+00 2.290725313550432038e+05
2.330900000000000194e+00 2.277863876287796593e+05
2.350000000000000089e+00 2.300736842341507145e+05
2.369099999999999984e+00 2.346750892279418476e+05
2.388199999999999878e+00 2.396675590301805350e+05
2.407300000000000217e+00 2.471057496759505302e+05
2.426400000000000112e+00 2.524931032925168693e+05
2.445500000000000007e+00 2.545507491425994376e+05
2.464599999999999902e+00 2.533461177000769239e+05
2.483699999999999797e+00 2.525870240281004226e+05
2.502800000000000136e+00 2.462803597205691913e+05
2.521900000000000031e+00 2.352143688845521538e+05
2.540999999999999925e+00 2.341228535445728339e+05
2.560099999999999820e+00 2.322555228789443208e+05
2.579200000000000159e+00 2.335299324719683791e+05
2.598300000000000054e+00 2.401729262521351629e+05
2.617399999999999949e+00 2.461381284136723261e+05
2.636499999999999844e+00 2.497413051140054886e+05
2.655600000000000183e+00 2.569794816069214139e+05
2.674799999999999844e+00 2.558551596297187207e+05
2.693900000000000183e+00 2.643959686314163846e+05
2.713000000000000078e+00 2.745162730907421210e+05
2.732099999999999973e+00 2.755387890702211298e+05
2.751199999999999868e+00 2.895188847456675139e+05
2.770300000000000207e+00 2.863518944889951963e+05
2.789400000000000102e+00 2.779490629251545179e+05
2.808499999999999996e+00 2.738336828881202382e+05
2.827599999999999891e+00 2.675141113922257791e+05
2.846699999999999786e+00 2.619505898956158198e+05
2.865800000000000125e+00 2.595260911387388187e+05
2.884900000000000020e+00 2.594356144447328988e+05
2.903999999999999915e+00 2.613099257041201636e+05
2.923099999999999810e+00 2.637577264108745148e+05
2.942200000000000149e+00 2.656084215360825765e+05
2.961300000000000043e+00 2.717018492105414043e+05
2.980399999999999938e+00 2.819343868890500744e+05
2.999499999999999833e+00 2.942825772767251474e+05
3.018600000000000172e+00 2.891463697253385908e+05
3.037799999999999834e+00 2.810227906592307263e+05
3.056900000000000173e+00 2.761739398188980995e+05
3.076000000000000068e+00 2.750148298231156659e+05
3.095099999999999962e+00 2.817524473592151771e+05
3.114199999999999857e+00 2.903345465814810595e+05
3.133300000000000196e+00 2.871821817991004209e+05
3.152400000000000091e+00 2.845130202890976798e+05
3.171499999999999986e+00 2.832965458846049733e+05
3.190599999999999881e+00 2.849106214580292581e+05
3.209700000000000220e+00 2.866803992420938448e+05
3.228800000000000114e+00 2.877482507427089731e+05
3.247900000000000009e+00 2.871965887324530049e+05
3.266999999999999904e+00 2.903911390440358664e+05
3.286099999999999799e+00 2.972084831947479979e+05
3.305200000000000138e+00 3.055300698646491510e+05
3.324300000000000033e+00 3.139839704444727395e+05
3.343399999999999928e+00 3.177382263547246694e+05
3.362499999999999822e+00 3.218148575402586139e+05
3.381600000000000161e+00 3.225833741124364897e+05
3.400799999999999823e+00 3.284931393283864018e+05
3.419900000000000162e+00 3.284575828212747583e+05
3.439000000000000057e+00 3.267484641685593524e+05
3.458099999999999952e+00 3.237887979214970837e+05
3.477199999999999847e+00 3.180169850420180592e+05
3.496300000000000185e+00 3.142283782911273302e+05
3.515400000000000080e+00 3.143062422278754530e+05
3.534499999999999975e+00 3.143233039318812080e+05
3.553599999999999870e+00 3.190041743532589753e+05
3.572700000000000209e+00 3.232083716180511401e+05
3.591800000000000104e+00 3.465112831495296559e+05
3.610899999999999999e+00 3.332662369866282097e+05
3.629999999999999893e+00 3.445794247199935489e+05
3.649099999999999788e+00 3.502230930108366883e+05
3.668200000000000127e+00 3.527164014134954778e+05
3.687300000000000022e+00 3.555889837759158108e+05
3.706399999999999917e+00 3.600864806527918554e+05
3.725499999999999812e+00 3.688329814212892670e+05
3.744699999999999918e+00 3.742438505060795578e+05
3.763799999999999812e+00 3.738360145847334643e+05
3.782900000000000151e+00 3.795182483529746532e+05
3.802000000000000046e+00 3.975276828195447451e+05
3.821099999999999941e+00 4.171709862790573388e+05
3.840199999999999836e+00 3.934338610948293353e+05
3.859300000000000175e+00 3.853960146737468895e+05
3.878400000000000070e+00 3.898678519433455658e+05
3.897499999999999964e+00 3.971787979957439820e+05
3.916599999999999859e+00 4.107911856765779085e+05
3.935700000000000198e+00 4.288202433424866176e+05
3.954800000000000093e+00 4.502784403560617357e+05
3.973899999999999988e+00 4.808593980769386399e+05
3.992999999999999883e+00 5.012146002818478155e+05
