wavelength (nm),LED-B3
380,0.001918578
381,0.002256286
382,0.002653437
383,0.003120495
384,0.003669763
385,0.004315714
386,0.005075364
387,0.005968728
388,0.007019339
389,0.008254878
390,0.009707894
391,0.011416666
392,0.013426212
393,0.015789472
394,0.018568703
395,0.021837121
396,0.025680829
397,0.030201081
398,0.035516953
399,0.041768476
400,0.049120326
401,0.057766156
402,0.067933696
403,0.079890748
404,0.093952234
405,0.110488479
406,0.12993496
407,0.152803754
408,0.179697005
409,0.211322747
410,0.248513511
411,0.28861274
412,0.340869292
413,0.402349824
414,0.474432427
415,0.558376048
416,0.655201569
417,0.766668014
418,0.89398946
419,1.038966045
420,1.20311228
421,1.388463416
422,1.596493277
423,1.829078641
424,2.087356764
425,2.372600867
426,2.685933624
427,3.028570386
428,3.40128573
429,3.804775471
430,4.2409463
431,4.718872192
432,5.240740233
433,5.815813228
434,6.455612803
435,7.172349368
436,7.976694571
437,8.875660236
438,9.870572959
439,10.9547604
440,12.11148258
441,13.31318916
442,14.52218027
443,15.69200186
444,16.76993993
445,17.70175844
446,18.43816325
447,18.94041763
448,19.18335226
449,19.15655946
450,18.86512115
451,18.32966296
452,17.5848507
453,16.67631794
454,15.65661834
455,14.58069659
456,13.50129378
457,12.46458289
458,11.50632814
459,10.649421
460,9.903719782
461,9.267768419
462,8.730951119
463,8.275723473
464,7.88092874
465,7.526322226
466,7.196507086
467,6.882461637
468,6.580746044
469,6.291932653
470,6.019497123
471,5.769138256
472,5.547777043
473,5.361961376
474,5.216315539
475,5.112864258
476,5.051326981
477,5.029710424
478,5.044656064
479,5.091771454
480,5.166345567
481,5.264143472
482,5.381671352
483,5.515943981
484,5.664275724
485,5.824361273
486,5.994549995
487,6.174050537
488,6.362734956
489,6.560534018
490,6.766930999
491,6.980908507
492,7.20105748
493,7.42553282
494,7.652073502
495,7.878317463
496,8.102142066
497,8.321737811
498,8.535621211
499,8.74284284
500,8.943083026
501,9.136207494
502,9.321619532
503,9.498268725
504,9.665495718
505,9.823812567
506,9.97468711
507,10.11946788
508,10.25846552
509,10.39102418
510,10.51649108
511,10.63515455
512,10.74821253
513,10.85681853
514,10.96124072
515,11.06098586
516,11.15571476
517,11.24611608
518,11.33396719
519,11.42117793
520,11.50852738
521,11.59532669
522,11.68048915
523,11.76401461
524,11.84735708
525,11.93224905
526,12.01918851
527,12.1071786
528,12.19495556
529,12.28234522
530,12.37035167
531,12.46007116
532,12.55174542
533,12.64481666
534,12.73852096
535,12.83229797
536,12.92608052
537,13.02053635
538,13.11667793
539,13.21479034
540,13.3138432
541,13.41221818
542,13.50899739
543,13.60449067
544,13.69962522
545,13.79489148
546,13.88982024
547,13.98346132
548,14.07535309
549,14.16586152
550,14.25547576
551,14.34405193
552,14.43109058
553,14.51654095
554,14.60078152
555,14.68385274
556,14.76536245
557,14.84528351
558,14.92413594
559,15.00198606
560,15.07783887
561,15.15059155
562,15.22032153
563,15.28819253
564,15.35523814
565,15.4215033
566,15.48615548
567,15.5481198
568,15.60677618
569,15.66244351
570,15.71622657
571,15.76909936
572,15.82107131
573,15.87146618
574,15.91994848
575,15.96690143
576,16.01281754
577,16.05777368
578,16.10158359
579,16.14400705
580,16.18464268
581,16.22309676
582,16.25965621
583,16.29551398
584,16.33177729
585,16.36806697
586,16.40231535
587,16.43226424
588,16.45733962
589,16.47899274
590,16.49902928
591,16.51760058
592,16.53301308
593,16.54349698
594,16.54883219
595,16.55010663
596,16.54823449
597,16.5429735
598,16.53315088
599,16.5176246
600,16.4962093
601,16.46981233
602,16.43930716
603,16.40467778
604,16.36459839
605,16.31776917
606,16.26410409
607,16.20455191
608,16.14025356
609,16.07134881
610,15.99754839
611,15.91798885
612,15.83222945
613,15.74054199
614,15.64380506
615,15.54239866
616,15.43627635
617,15.32389599
618,15.20589698
619,15.08306346
620,14.95766713
621,14.82881392
622,14.69581378
623,14.55747912
624,14.41392246
625,14.26566684
626,14.11450324
627,13.96113239
628,13.80527161
629,13.64611384
630,13.48360819
631,13.31752134
632,13.14817027
633,12.97510757
634,12.7996619
635,12.62263726
636,12.44347637
637,12.26265532
638,12.08001577
639,11.89621454
640,11.71220454
641,11.52689357
642,11.34097997
643,11.15406886
644,10.96682111
645,10.77941424
646,10.59221952
647,10.4055954
648,10.21999998
649,10.03401604
650,9.848369131
651,9.662163744
652,9.476870834
653,9.291874116
654,9.109710264
655,8.928539268
656,8.747966148
657,8.569327342
658,8.391661069
659,8.21612738
660,8.041956748
661,7.86939797
662,7.699084249
663,7.530985421
664,7.365221828
665,7.200910228
666,7.038886155
667,6.879293641
668,6.722552361
669,6.568229318
670,6.4160283
671,6.265687992
672,6.118801952
673,5.974383801
674,5.832418873
675,5.691266196
676,5.55260144
677,5.416580814
678,5.282893395
679,5.151660002
680,5.022539262
681,4.896018161
682,4.772567121
683,4.651849402
684,4.532911728
685,4.417139266
686,4.30397948
687,4.193216638
688,4.085282133
689,3.979737602
690,3.876131231
691,3.774519896
692,3.675675058
693,3.577835981
694,3.481559961
695,3.386678268
696,3.294812935
697,3.204784212
698,3.116355793
699,3.03035804
700,2.946436369
701,2.864911921
702,2.785136646
703,2.707042875
704,2.631341176
705,2.558587731
706,2.486793436
707,2.416809747
708,2.348304399
709,2.281781608
710,2.216747033
711,2.153143484
712,2.091602051
713,2.031282122
714,1.972496563
715,1.915514191
716,1.860152705
717,1.805858049
718,1.753060073
719,1.701774329
720,1.65199859
721,1.604016582
722,1.557255125
723,1.512338458
