wavelength (nm),LED-B3
724,1.468736223
725,1.42637776
726,1.384759994
727,1.344430828
728,1.305082368
729,1.267123595
730,1.229860919
731,1.19362609
732,1.158678077
733,1.12477681
734,1.091365658
735,1.059561055
736,1.027809684
737,0.997212114
738,0.967550989
739,0.938545537
740,0.910781763
741,0.883904315
742,0.858060958
743,0.832541055
744,0.80776644
745,0.784050086
746,0.761134273
747,0.738671555
748,0.716803011
749,0.695797387
750,0.675507088
751,0.655808692
752,0.636830814
753,0.618213111
754,0.600319454
755,0.583103559
756,0.565886395
757,0.549445514
758,0.533493052
759,0.517882749
760,0.502922565
761,0.488206418
762,0.474013638
763,0.45989352
764,0.446737835
765,0.433890346
766,0.421139889
767,0.408668617
768,0.396800834
769,0.385335713
770,0.374466163
771,0.363671322
772,0.353198552
773,0.343038194
774,0.333180594
775,0.323616094
776,0.314335037
777,0.305327768
778,0.29658463
779,0.288095966
780,0.27985212
