wavelength (nm),LED-RGB1
728,0.745117033
729,0.734280382
730,0.707480806
731,0.681920141
732,0.668271239
733,0.64546164
734,0.628517528
735,0.606511817
736,0.58217827
737,0.568349626
738,0.560040829
739,0.541145993
740,0.530093332
741,0.519509088
742,0.501408976
743,0.486792231
744,0.473063135
745,0.451179852
746,0.447893523
747,0.431737772
748,0.420432332
749,0.402740596
750,0.397406493
751,0.387124679
752,0.374438275
753,0.366592219
754,0.359605938
755,0.348842856
756,0.334447291
757,0.321151697
758,0.321179546
759,0.301996579
760,0.303530943
761,0.299776046
762,0.284380331
763,0.282274077
764,0.274116604
765,0.265361082
766,0.254214988
767,0.256939131
768,0.2334372
769,0.239750956
770,0.235314711
771,0.23073834
772,0.218917781
773,0.218482074
774,0.211219986
775,0.20864498
776,0.195824396
777,0.198462675
778,0.180741724
779,0.185186231
780,0.169351491
