wavelength (nm),LED-B2
729,2.066462676
730,2.010346222
731,1.955514859
732,1.901218793
733,1.849037561
734,1.797359814
735,1.74735029
736,1.698745907
737,1.651893332
738,1.60653388
739,1.562829442
740,1.519614579
741,1.479086519
742,1.440430191
743,1.399864151
744,1.360422159
745,1.323362726
746,1.288756276
747,1.25232075
748,1.217897568
749,1.182752153
750,1.149514318
751,1.115706558
752,1.084010937
753,1.05416378
754,1.024027981
755,0.995858944
756,0.966742023
757,0.941629503
758,0.91591824
759,0.892051543
760,0.86769654
761,0.844509376
762,0.821253616
763,0.799688976
764,0.779296175
765,0.759541081
766,0.740213768
767,0.719846626
768,0.701153467
769,0.682442191
770,0.665103968
771,0.648155597
772,0.631771194
773,0.615927924
774,0.60060295
775,0.585773436
776,0.571416546
777,0.557509445
778,0.544029295
779,0.530953262
780,0.518258509
