wavelength (nm),LED-B2
380,0.001021274
381,0.001193818
382,0.001395514
383,0.001631286
384,0.001906892
385,0.002229062
386,0.002605661
387,0.003045888
388,0.00356049
389,0.004162034
390,0.004865208
391,0.005687183
392,0.00664803
393,0.007771211
394,0.00908415
395,0.010618909
396,0.012412961
397,0.014510114
398,0.016961573
399,0.019827196
400,0.023176953
401,0.027092633
402,0.031669841
403,0.037020334
404,0.043274745
405,0.050585772
406,0.059131906
407,0.069121785
408,0.080799285
409,0.094449465
410,0.110405524
411,0.127256051
412,0.149593741
413,0.17553027
414,0.205998176
415,0.241432769
416,0.281250927
417,0.326236126
418,0.377801073
419,0.436184085
420,0.501833244
421,0.575726881
422,0.657793087
423,0.749275738
424,0.850679502
425,0.963003982
426,1.08736504
427,1.224339002
428,1.373925912
429,1.536056608
430,1.710354578
431,1.898966338
432,2.101226811
433,2.319361838
434,2.556719725
435,2.818137882
436,3.10998912
437,3.439115417
438,3.811528009
439,4.232569852
440,4.707965428
441,5.242942676
442,5.838411841
443,6.486945405
444,7.171841148
445,7.869433307
446,8.552245425
447,9.191118987
448,9.756633051
449,10.22123865
450,10.56254149
451,10.766399
452,10.82817098
453,10.7520509
454,10.54979741
455,10.23959659
456,9.844504609
457,9.390237103
458,8.903350844
459,8.410405334
460,7.936613679
461,7.502373708
462,7.119089474
463,6.787804238
464,6.501997118
465,6.252042915
466,6.028074109
467,5.820737944
468,5.621726615
469,5.425224465
470,5.229193768
471,5.03505178
472,4.846158658
473,4.666763918
474,4.501871346
475,4.356805216
476,4.235727971
477,4.140301451
478,4.070111945
479,4.024444137
480,4.003125292
481,4.005287414
482,4.027822693
483,4.06591106
484,4.11523406
485,4.173388149
486,4.239516091
487,4.313581329
488,4.39635157
489,4.489183376
490,4.592675323
491,4.705349299
492,4.824329696
493,4.947763372
494,5.076265656
495,5.211587559
496,5.354045111
497,5.501671715
498,5.651814265
499,5.803058268
500,5.955431846
501,6.109220555
502,6.26401348
503,6.418584191
504,6.571191949
505,6.720288056
506,6.86571204
507,7.009307556
508,7.153591779
509,7.299118005
510,7.443295894
511,7.582508629
512,7.715686837
513,7.845388699
514,7.975082063
515,8.105792874
516,8.23585604
517,8.363561093
518,8.489256868
519,8.61481209
520,8.741825823
521,8.870783275
522,9.001189828
523,9.13176448
524,9.261137653
525,9.389444038
526,9.518946557
527,9.651942578
528,9.787942601
529,9.923899695
530,10.0576979
531,10.19080741
532,10.32681165
533,10.46741928
534,10.61057809
535,10.75289322
536,10.89356099
537,11.03528493
538,11.18125295
539,11.33189442
540,11.48501928
541,11.63840028
542,11.79125446
543,11.94369035
544,12.09626251
545,12.25038927
546,12.40772464
547,12.56811997
548,12.7291166
549,12.88849963
550,13.04679738
551,13.20637963
552,13.36855941
553,13.53243195
554,13.69633355
555,13.85980343
556,14.02409582
557,14.19087137
558,14.36012833
559,14.52942165
560,14.6956389
561,14.85781359
562,15.01788842
563,15.17860962
564,15.34105902
565,15.50416582
566,15.66573102
567,15.82356624
568,15.97667688
569,16.12638268
570,16.27574183
571,16.42660965
572,16.57724564
573,16.72395818
574,16.86551033
575,17.00491826
576,17.14602294
577,17.28884094
578,17.4294818
579,17.56462023
580,17.69473804
581,17.82240617
582,17.94857189
583,18.07178227
584,18.19059427
585,18.30530533
586,18.41691874
587,18.52558628
588,18.63102527
589,18.73349248
590,18.83272263
591,18.92635631
592,19.01159062
593,19.08911892
594,19.16372758
595,19.23928636
596,19.31354359
597,19.37955442
598,19.43282412
599,19.47569835
600,19.51358378
601,19.5479752
602,19.57469127
603,19.59002917
604,19.59477876
605,19.59258309
606,19.58609727
607,19.57440317
608,19.55484417
609,19.52489871
610,19.48413451
611,19.43370383
612,19.37678046
613,19.3169809
614,19.2542624
615,19.1856802
616,19.10855325
617,19.02042442
618,18.92330029
619,18.82081338
620,18.71723745
621,18.60880062
622,18.49291059
623,18.36734897
624,18.2345737
625,18.0986575
626,17.9595163
627,17.81586873
628,17.66556109
629,17.5068131
630,17.34198781
631,17.17443778
632,17.00456905
633,16.83167328
634,16.6548058
635,16.4726877
636,16.28726967
637,16.09722488
638,15.90226358
639,15.70483917
640,15.5088539
641,15.30807145
642,15.1042253
643,14.90086044
644,14.69561624
645,14.48908307
646,14.27824085
647,14.06647532
648,13.85135248
649,13.63582743
650,13.42168057
651,13.20227602
652,12.98237156
653,12.76375431
654,12.54527985
655,12.32815072
656,12.11277762
657,11.89697802
658,11.68258535
659,11.47116654
660,11.26232506
661,11.05281351
662,10.84531436
663,10.6418353
664,10.43938845
665,10.23672463
666,10.03601864
667,9.835745428
668,9.639443427
669,9.446274746
670,9.25229399
671,9.054305375
672,8.861913246
673,8.672379857
674,8.485541345
675,8.302300297
676,8.120425898
677,7.94151425
678,7.764153154
679,7.589855414
680,7.41714333
681,7.247066802
682,7.079608335
683,6.915167566
684,6.753595262
685,6.59559057
686,6.443893553
687,6.292191283
688,6.145316841
689,5.998550656
690,5.853093704
691,5.710341201
692,5.57058763
693,5.434292908
694,5.300566269
695,5.169364447
696,5.039071037
697,4.913817235
698,4.789213338
699,4.667152883
700,4.548127153
701,4.430478005
702,4.314871925
703,4.20302225
704,4.092593932
705,3.986160547
706,3.883056596
707,3.780394783
708,3.680394759
709,3.58187455
710,3.485678277
711,3.392332244
712,3.300321063
713,3.211817742
714,3.124771234
715,3.039127165
716,2.95652059
717,2.876702636
718,2.797821687
719,2.721940725
720,2.648147473
721,2.573768129
722,2.505903585
723,2.439402438
724,2.371150563
725,2.305777949
726,2.245044876
727,2.184404487
728,2.125221889
