wavelength (nm),LED-B5
380,0.002825336
381,0.003317836
382,0.003896185
383,0.004575349
384,0.005372901
385,0.006309478
386,0.007409313
387,0.008700864
388,0.010217551
389,0.011998615
390,0.014090142
391,0.016546246
392,0.019430478
393,0.022817462
394,0.02679483
395,0.031465488
396,0.036950277
397,0.043391098
398,0.050954583
399,0.059836402
400,0.070266323
401,0.082514154
402,0.096896711
403,0.113786013
404,0.133618887
405,0.156908255
406,0.184256379
407,0.216370405
408,0.25408061
409,0.298361814
410,0.350358506
411,0.406443285
412,0.478948968
413,0.564474988
414,0.664296839
415,0.780602962
416,0.914938677
417,1.069308791
418,1.245251716
419,1.446281386
420,1.674673414
421,1.932610452
422,2.220492146
423,2.541397054
424,2.898702502
425,3.295815386
426,3.734945019
427,4.217340685
428,4.74468568
429,5.318448217
430,5.940309963
431,6.617749242
432,7.346939885
433,8.133718482
434,8.988003603
435,9.921219002
436,10.94393378
437,12.0665026
438,13.30071902
439,14.658616
440,16.14825392
441,17.76964916
442,19.51226964
443,21.35260893
444,23.2515568
445,25.15432425
446,26.99476475
447,28.70185462
448,30.20493983
449,31.43751759
450,32.34186396
451,32.87535722
452,33.01606422
453,32.76428747
454,32.13984485
455,31.17858223
456,29.93101418
457,28.461444
458,26.84375482
459,25.15338684
460,23.45907265
461,21.81750692
462,20.27082056
463,18.84545955
464,17.55264675
465,16.39122295
466,15.35171113
467,14.41933446
468,13.57578441
469,12.80168931
470,12.08052206
471,11.40189956
472,10.76190137
473,10.16061496
474,9.599437647
475,9.080200681
476,8.605693551
477,8.179627307
478,7.805152248
479,7.483110497
480,7.21160387
481,6.986959031
482,6.804948466
483,6.66155741
484,6.553425983
485,6.477890886
486,6.432317057
487,6.413375339
488,6.417538614
489,6.442660299
490,6.488824078
491,6.557314968
492,6.648751439
493,6.762265816
494,6.896294153
495,7.049828697
496,7.222764887
497,7.415206504
498,7.626630699
499,7.855546181
500,8.099518029
501,8.355419647
502,8.620120564
503,8.891421693
504,9.1683654
505,9.450486805
506,9.736781549
507,10.02535846
508,10.31381192
509,10.59983458
510,10.88178529
511,11.15895041
512,11.43126812
513,11.69877926
514,11.96123215
515,12.21782069
516,12.4671041
517,12.70760831
518,12.9388885
519,13.16164131
520,13.37629078
521,13.58173068
522,13.77606639
523,13.95862924
524,14.13081317
525,14.29472241
526,14.45116267
527,14.59910564
528,14.73705765
529,14.86477614
530,14.98354399
531,15.09494297
532,15.19978839
533,15.29836279
534,15.39098427
535,15.47762405
536,15.55742527
537,15.62962644
538,15.69493082
539,15.75508228
540,15.81091638
541,15.86150956
542,15.90555879
543,15.94318208
544,15.97603393
545,16.00586008
546,16.03321618
547,16.05744754
548,16.07753832
549,16.09295742
550,16.10410239
551,16.11225503
552,16.1190138
553,16.12540338
554,16.13114266
555,16.13466669
556,16.13419535
557,16.12913238
558,16.12038151
559,16.1091866
560,16.09579246
561,16.07934411
562,16.05901752
563,16.03513231
564,16.00893865
565,15.98100525
566,15.94990517
567,15.91315515
568,15.86993206
569,15.82248432
570,15.77419334
571,15.72623457
572,15.67661968
573,15.62255208
574,15.56319785
575,15.49993127
576,15.43445446
577,15.36736697
578,15.2984016
579,15.22725327
580,15.15387643
581,15.07846036
582,15.00144823
583,14.92321582
584,14.84335779
585,14.76058058
586,14.67383999
587,14.58363448
588,14.49175044
589,14.39943019
590,14.30596901
591,14.20947289
592,14.10895095
593,14.00522308
594,13.89965557
595,13.79251415
596,13.68296016
597,13.57031723
598,13.45477426
599,13.3369296
600,13.21717299
601,13.09558554
602,12.97199777
603,12.84606644
604,12.71747199
605,12.58630064
606,12.45318702
607,12.31880451
608,12.18347214
609,12.04716181
610,11.90981724
611,11.77101195
612,11.63090501
613,11.49013152
614,11.34798112
615,11.20367346
616,11.05712252
617,10.90933516
618,10.7619247
619,10.61454049
620,10.46761606
621,10.32095158
622,10.17352059
623,10.02568933
624,9.877571617
625,9.729740834
626,9.581983372
627,9.43460574
628,9.287861189
629,9.141729797
630,8.995837096
631,8.850334414
632,8.705810593
633,8.561240283
634,8.417347716
635,8.272469747
636,8.128660814
637,7.986349039
638,7.84572095
639,7.706378787
640,7.568135202
641,7.430817546
642,7.295005695
643,7.160081586
644,7.027529072
645,6.895803778
646,6.764689179
647,6.634443285
648,6.506081001
649,6.379729886
650,6.254833212
651,6.13092553
652,6.008670094
653,5.885894511
654,5.76629169
655,5.647062464
656,5.530979934
657,5.416131816
658,5.302338842
659,5.190188739
660,5.078979279
661,4.96965701
662,4.861904302
663,4.755456845
664,4.651516018
665,4.548641516
666,4.446328343
667,4.345206522
668,4.247481772
669,4.151279195
670,4.055956937
671,3.962616391
672,3.871225814
673,3.782088914
674,3.696496366
675,3.611408074
676,3.52915194
677,3.448697664
678,3.369694778
679,3.292302047
680,3.215416875
681,3.141185909
682,3.067662265
683,2.996071338
684,2.925726398
685,2.856964794
686,2.788578452
687,2.722646101
688,2.65982916
689,2.597975758
690,2.538273151
691,2.479606499
692,2.422379331
693,2.366940072
694,2.311903388
695,2.256974736
696,2.203891269
697,2.151257966
698,2.098878935
699,2.046936607
700,1.995424816
701,1.94552989
702,1.895400052
703,1.846673713
704,1.798353146
705,1.751801958
706,1.707046101
707,1.663957134
708,1.622705197
709,1.58255577
710,1.543951097
711,1.505397742
712,1.468413766
713,1.431807628
714,1.395753175
715,1.360719318
716,1.326565188
717,1.293178946
718,1.260398537
719,1.228410576
720,1.19757179
721,1.167165942
722,1.137459643
723,1.108361407
724,1.080228531
725,1.053248691
726,1.0271241
727,1.001308775
728,0.976393779
729,0.952184302
730,0.929090702
731,0.905679225
732,0.883647246
733,0.861228921
734,0.83959164
735,0.818303037
736,0.797511953
737,0.777301095
738,0.757814781
739,0.738706438
740,0.720449712
741,0.702109802
742,0.685108446
743,0.667987441
744,0.651466002
745,0.63517009
746,0.619479198
747,0.604362446
748,0.589402591
749,0.574760594
750,0.560843017
751,0.546587967
752,0.533698167
753,0.520063867
754,0.507195587
755,0.493975925
756,0.482136194
757,0.470875393
758,0.459945596
759,0.449216936
760,0.438849525
761,0.428451237
762,0.418828725
763,0.408478271
764,0.399116429
765,0.38954645
766,0.380506849
767,0.371752584
768,0.362490993
769,0.353794808
770,0.345675109
771,0.337354978
772,0.329261061
773,0.321410306
774,0.313819664
775,0.306506084
776,0.299486516
777,0.292777907
778,0.286397209
779,0.28036137
780,0.27468734
