wavelength (nm),LED-B4
380,0.000664693
381,0.000805026
382,0.000974985
383,0.001180828
384,0.001430128
385,0.001732062
386,0.00209774
387,0.002540622
388,0.003077006
389,0.003726633
390,0.004513411
391,0.005466295
392,0.006620354
393,0.008018059
394,0.009710849
395,0.011761022
396,0.014244028
397,0.017251243
398,0.020893336
399,0.025304336
400,0.030646567
401,0.037116617
402,0.044952571
403,0.054442768
404,0.065936404
405,0.079856377
406,0.09671483
407,0.117131981
408,0.141858913
409,0.171805165
410,0.208072137
411,0.246171026
412,0.30099963
413,0.367813022
414,0.448237541
415,0.542347584
416,0.653187529
417,0.783316165
418,0.935426729
419,1.110730245
420,1.310525839
421,1.536540419
422,1.792850519
423,2.081045396
424,2.400698127
425,2.751312589
426,3.13571206
427,3.555944373
428,4.015153854
429,4.511872499
430,5.041661798
431,5.608375466
432,6.210010249
433,6.854880954
434,7.552408336
435,8.311862574
436,9.142997457
437,10.05584836
438,11.05934013
439,12.16072427
440,13.36590802
441,14.67754989
442,16.08901336
443,17.57741983
444,19.10177384
445,20.60853472
446,22.04033461
447,23.34087447
448,24.45431974
449,25.32556065
450,25.90738264
451,26.17056021
452,26.10743898
453,25.72769338
454,25.05408458
455,24.12233976
456,22.98065222
457,21.68521715
458,20.29507694
459,18.86967961
460,17.46651724
461,16.13481315
462,14.90711361
463,13.79553739
464,12.79675367
465,11.90195343
466,11.1031951
467,10.39158796
468,9.752528228
469,9.166859979
470,8.618661719
471,8.101028211
472,7.613932317
473,7.158530187
474,6.734907941
475,6.343336631
476,5.98488345
477,5.660516115
478,5.370674431
479,5.115515427
480,4.894712177
481,4.707117532
482,4.551041021
483,4.424500183
484,4.324903582
485,4.24916569
486,4.194928647
487,4.161626525
488,4.150044823
489,4.160990515
490,4.19451956
491,4.250114027
492,4.327393862
493,4.426892811
494,4.550105934
495,4.698241986
496,4.8707552
497,5.065512978
498,5.280518343
499,5.515093711
500,5.769333738
501,6.042786258
502,6.333655389
503,6.638721378
504,6.953798313
505,7.274939512
506,7.600066834
507,7.92940548
508,8.263688795
509,8.601922581
510,8.941400524
511,9.279600461
512,9.615200938
513,9.947409492
514,10.27537516
515,10.5985627
516,10.91689978
517,11.22985735
518,11.53547899
519,11.83089536
520,12.11423676
521,12.38583927
522,12.64700673
523,12.89760456
524,13.13553128
525,13.35879697
526,13.56765249
527,13.76448548
528,13.95207269
529,14.13205673
530,14.30442418
531,14.46784241
532,14.62078218
533,14.76295978
534,14.8958221
535,15.02137853
536,15.14051689
537,15.25257996
538,15.35653076
539,15.45235042
540,15.54118802
541,15.62424654
542,15.70192889
543,15.77429753
544,15.84178131
545,15.90477442
546,15.96301719
547,16.01616544
548,16.06463825
549,16.10942333
550,16.15178091
551,16.19350353
552,16.23582411
553,16.27664107
554,16.31029714
555,16.33269915
556,16.34681542
557,16.36101134
558,16.38072222
559,16.40266433
560,16.41854144
561,16.42433247
562,16.42464509
563,16.42711407
564,16.43333184
565,16.43693726
566,16.43086579
567,16.41477762
568,16.3944214
569,16.37536437
570,16.35888423
571,16.3424018
572,16.32135691
573,16.29113561
574,16.25013573
575,16.20240328
576,16.15569441
577,16.11481255
578,16.07671626
579,16.0336342
580,15.98164775
581,15.92495358
582,15.87035181
583,15.81855511
584,15.76336951
585,15.69972248
586,15.62992002
587,15.56040859
588,15.49412539
589,15.42802289
590,15.35718969
591,15.27949248
592,15.19626658
593,15.10984162
594,15.02121046
595,14.93020848
596,14.83724677
597,14.74330892
598,14.64761624
599,14.54675362
600,14.43764899
601,14.32114885
602,14.20188146
603,14.08463278
604,13.97052164
605,13.8576852
606,13.74253636
607,13.62263834
608,13.49843754
609,13.37122144
610,13.2436246
611,13.11384905
612,12.98157526
613,12.84651665
614,12.71159128
615,12.57272056
616,12.43142414
617,12.28892572
618,12.1433693
619,11.99376539
620,11.84350848
621,11.6938263
622,11.54911036
623,11.40659471
624,11.26266302
625,11.11599801
626,10.96725227
627,10.81803131
628,10.66920442
629,10.5203361
630,10.37551718
631,10.23145652
632,10.08857451
633,9.9456897
634,9.79999162
635,9.651668243
636,9.501415741
637,9.351091511
638,9.203243437
639,9.055669441
640,8.910116272
641,8.764711958
642,8.621562986
643,8.473108546
644,8.332689546
645,8.191693861
646,8.053372761
647,7.915203458
648,7.778093428
649,7.643308309
650,7.511811963
651,7.382127211
652,7.250838301
653,7.118532249
654,6.987160769
655,6.858026291
656,6.722703979
657,6.590829509
658,6.461679536
659,6.333924747
660,6.208549703
661,6.083617523
662,5.958435064
663,5.835417358
664,5.720434036
665,5.604210864
666,5.489763182
667,5.377877581
668,5.267092816
669,5.159482836
670,5.05194714
671,4.947119721
672,4.841856318
673,4.738163553
674,4.638751324
675,4.537601274
676,4.435454078
677,4.33662103
678,4.240465323
679,4.146187655
680,4.05096075
681,3.960014852
682,3.870432321
683,3.783437836
684,3.701180737
685,3.617376667
686,3.536959733
687,3.457592981
688,3.378364139
689,3.300602434
690,3.225280141
691,3.151567089
692,3.078936786
693,3.008072482
694,2.937521644
695,2.866593501
696,2.794953449
697,2.725857627
698,2.659883677
699,2.594910402
700,2.532027509
701,2.473497563
702,2.412476777
703,2.353832905
704,2.298460676
705,2.242402014
706,2.188897485
707,2.135746307
708,2.084484561
709,2.034759523
710,1.986413452
711,1.939134989
712,1.892526192
713,1.847844581
714,1.80232938
715,1.75728841
716,1.713483449
717,1.672227003
718,1.629605903
719,1.587456036
720,1.548007072
721,1.50989097
722,1.471839808
723,1.437334623
724,1.400958407
725,1.366103888
726,1.331577266
727,1.300439264
728,1.269126604
729,1.237474071
730,1.2065317
731,1.177416931
732,1.150052954
733,1.12497746
734,1.09759407
735,1.073138578
736,1.046652786
737,1.023362325
738,0.997809088
739,0.974039964
740,0.951240122
741,0.928927239
742,0.90781822
743,0.886790539
744,0.865381227
745,0.845932023
746,0.825452965
747,0.805363322
748,0.785634235
749,0.766476878
750,0.748649685
751,0.73054288
752,0.717069845
753,0.700939186
754,0.686477432
755,0.672923362
756,0.658192618
757,0.645992068
758,0.631834842
759,0.618535945
760,0.606764985
761,0.594911141
762,0.582825616
763,0.570906915
764,0.560468606
765,0.549244086
766,0.536274807
767,0.524817494
768,0.515408358
769,0.505780334
770,0.496272495
771,0.487201185
772,0.478420455
773,0.469902212
774,0.46161836
775,0.453540807
776,0.445641456
777,0.437892215
778,0.430264989
779,0.422731683
780,0.415264204
