wavelength (nm),LED-BH1
728,0.772870228
729,0.75529545
730,0.735957507
731,0.717141999
732,0.699170912
733,0.681259635
734,0.663895783
735,0.646636896
736,0.630901285
737,0.615976171
738,0.600965534
739,0.586647675
740,0.572945035
741,0.559396941
742,0.546808652
743,0.535350626
744,0.524925246
745,0.513880921
746,0.502777319
747,0.491790122
748,0.481522471
749,0.471114459
750,0.460416656
751,0.450743388
752,0.441114953
753,0.431729628
754,0.422974132
755,0.414882237
756,0.406283623
757,0.397194149
758,0.387847342
759,0.379801904
760,0.371989729
761,0.364262186
762,0.356839307
763,0.349734072
764,0.342918332
765,0.335048205
766,0.327815019
767,0.321914596
768,0.315280192
769,0.308539831
770,0.303801709
771,0.298008327
772,0.292315895
773,0.286711601
774,0.281182633
775,0.275716175
776,0.270299416
777,0.264919541
778,0.259563738
779,0.254219192
780,0.248873091
