wavelength (nm),LED-V2
519,12.75873072
520,12.74087417
521,12.72488805
522,12.70866328
523,12.69357393
524,12.68377304
525,12.67680743
526,12.67645238
527,12.68029572
528,12.68084477
529,12.68692604
530,12.69621816
531,12.70383384
532,12.71818013
533,12.73023872
534,12.74965896
535,12.77483178
536,12.80163564
537,12.82969865
538,12.85800471
539,12.88662336
540,12.91071345
541,12.93071129
542,12.9590298
543,12.9892363
544,13.01613094
545,13.04046993
546,13.06737555
547,13.09227969
548,13.11203156
549,13.13477172
550,13.16254411
551,13.18269934
552,13.20207566
553,13.22320455
554,13.24160722
555,13.2617566
556,13.28406704
557,13.30568128
558,13.31993827
559,13.33528749
560,13.3514171
561,13.36368286
562,13.37630734
563,13.38830297
564,13.40339377
565,13.42094798
566,13.4436574
567,13.466104
568,13.48026069
569,13.49849425
570,13.51832811
571,13.53510267
572,13.54907488
573,13.57515253
574,13.60324775
575,13.640067
576,13.67499021
577,13.71019086
578,13.74526853
579,13.78385572
580,13.8294561
581,13.87734639
582,13.9260888
583,13.97506766
584,14.02272149
585,14.0745825
586,14.13326343
587,14.20016327
588,14.26503529
589,14.33785754
590,14.41584085
591,14.49567703
592,14.56518229
593,14.6428186
594,14.72404058
595,14.82022671
596,14.91071737
597,14.99754038
598,15.08055665
599,15.17124497
600,15.26210898
601,15.33013986
602,15.39607704
603,15.47261452
604,15.55786359
605,15.6384494
606,15.71598982
607,15.79407196
608,15.87997257
609,15.95984095
610,16.03004607
611,16.1037651
612,16.18231577
613,16.25755749
614,16.32506861
615,16.39588134
616,16.45684046
617,16.5204277
618,16.57031067
619,16.62028149
620,16.66694336
621,16.72390541
622,16.77162878
623,16.81555273
624,16.8484957
625,16.88248551
626,16.90779303
627,16.92133625
628,16.92755881
629,16.92734651
630,16.93268327
631,16.9298941
632,16.91072129
633,16.89578715
634,16.8719218
635,16.85314431
636,16.82506959
637,16.78911783
638,16.74454234
639,16.69124063
640,16.62082321
641,16.55067666
642,16.48246277
643,16.40350214
644,16.31921208
645,16.23375803
646,16.14278421
647,16.03985575
648,15.93487751
649,15.83641465
650,15.72477461
651,15.60589443
652,15.48026461
653,15.34666259
654,15.20793611
655,15.06933408
656,14.93194728
657,14.78041697
658,14.62228343
659,14.46283509
660,14.30676304
661,14.13856945
662,13.97001275
663,13.79602631
664,13.6237456
665,13.44933749
666,13.27162192
667,13.09562011
668,12.92096237
669,12.75331856
670,12.57249903
671,12.37826731
672,12.18523619
673,12.00859968
674,11.82579185
675,11.63871462
676,11.45097413
677,11.26127244
678,11.07249609
679,10.87960478
680,10.69255391
681,10.50712162
682,10.31773619
683,10.13177243
684,9.957559785
685,9.778593841
686,9.592990988
687,9.409048461
688,9.226225994
689,9.045842039
690,8.86824579
691,8.697790112
692,8.519050376
693,8.339753539
694,8.16326637
695,7.996001767
696,7.827980207
697,7.6596014
698,7.49708644
699,7.331944096
700,7.170585068
701,7.002704797
702,6.838227169
703,6.682540187
704,6.526367114
705,6.367120096
706,6.21084673
707,6.061708809
708,5.919484519
709,5.787350292
710,5.652280481
711,5.51681389
712,5.388004707
713,5.263780451
714,5.139834381
715,5.013155509
716,4.886539595
717,4.762009336
718,4.649350257
719,4.539205824
720,4.423873973
721,4.303866417
722,4.191077031
723,4.078760559
724,3.975849669
725,3.876612285
726,3.774531558
727,3.668859316
728,3.570285184
729,3.480123221
730,3.390929049
731,3.297450828
732,3.20352019
733,3.115457792
734,3.033680911
735,2.952229799
736,2.872626422
737,2.794331247
738,2.717428461
739,2.645286299
740,2.57613975
741,2.50539437
742,2.434118974
743,2.361957778
744,2.296490593
745,2.235916536
746,2.17862799
747,2.125727447
748,2.068086046
749,2.005492219
750,1.947295179
751,1.892414398
752,1.842609762
753,1.786161628
754,1.737192278
755,1.695800543
756,1.651540573
757,1.611196424
758,1.567353
759,1.517748217
760,1.467792043
761,1.43289256
762,1.399709918
763,1.360280924
764,1.322843003
765,1.295507737
766,1.262813603
767,1.222916087
768,1.185214622
769,1.148503643
770,1.101759115
771,1.060051859
772,1.035873187
773,1.018512758
774,0.990485104
775,0.964594131
776,0.942168758
777,0.916503773
778,0.88872795
779,0.862004691
780,0.838215406
