wavelength (nm),LED-V2
380,0.013088792
381,0.017583418
382,0.023621476
383,0.031732972
384,0.042629917
385,0.057268817
386,0.076934644
387,0.103353616
388,0.138844733
389,0.186523321
390,0.256117402
391,0.347175099
392,0.467648433
393,0.63009206
394,0.850591719
395,1.146032966
396,1.535928174
397,2.050216232
398,2.696339038
399,3.501238912
400,4.465601727
401,5.608868243
402,6.951697377
403,8.466046612
404,10.15521757
405,11.97919845
406,13.84190122
407,15.62896988
408,17.24966779
409,18.69311132
410,19.8887652
411,20.71105085
412,21.1281527
413,21.17903127
414,20.87046551
415,20.24127687
416,19.32580656
417,18.21587759
418,16.97733929
419,15.67426938
420,14.38582615
421,13.16427617
422,12.00734418
423,10.91531056
424,9.888745595
425,8.948695435
426,8.129591341
427,7.420956716
428,6.789178757
429,6.240240638
430,5.775267545
431,5.397005456
432,5.102499022
433,4.881243098
434,4.739394357
435,4.654225816
436,4.609086635
437,4.610197911
438,4.65593885
439,4.740425838
440,4.86091729
441,4.994247712
442,5.161796357
443,5.356515626
444,5.565164644
445,5.783043548
446,6.009528619
447,6.248662324
448,6.49708448
449,6.737401203
450,6.970731089
451,7.208510472
452,7.437789106
453,7.667134358
454,7.884349278
455,8.104846782
456,8.314071936
457,8.51486296
458,8.688157589
459,8.874614763
460,9.047601925
461,9.217300647
462,9.378495692
463,9.525523067
464,9.680106825
465,9.821334774
466,9.975129366
467,10.11230606
468,10.25185026
469,10.37968067
470,10.52125049
471,10.67190306
472,10.81334477
473,10.96403833
474,11.07835261
475,11.2073902
476,11.3294512
477,11.47385851
478,11.62447374
479,11.74144762
480,11.86678754
481,11.99561576
482,12.13545571
483,12.27924223
484,12.39021463
485,12.49673094
486,12.5988534
487,12.70554687
488,12.80749217
489,12.89192645
490,12.97952764
491,13.04684037
492,13.10617504
493,13.15804849
494,13.1991474
495,13.23308597
496,13.25990887
497,13.28049529
498,13.29431596
499,13.30029181
500,13.30163662
501,13.29173177
502,13.27381812
503,13.25551501
504,13.23355449
505,13.21374333
506,13.18523815
507,13.15808217
508,13.12740495
509,13.0906567
510,13.05200216
511,13.00799476
512,12.97074285
513,12.93054585
514,12.90485692
515,12.87769509
516,12.84629166
517,12.81533259
518,12.78260193
