wavelength (nm),LED-V1
728,5.419474165
729,5.268422885
730,5.124452135
731,4.990388414
732,4.862373011
733,4.73008894
734,4.590777048
735,4.455876578
736,4.330162054
737,4.208968029
738,4.096633449
739,3.987746162
740,3.879942331
741,3.769153872
742,3.664715341
743,3.560093794
744,3.459737256
745,3.365000777
746,3.276721108
747,3.187762815
748,3.102489735
749,3.01789894
750,2.935579009
751,2.85181691
752,2.781845445
753,2.708273685
754,2.626647751
755,2.541572329
756,2.465593541
757,2.392516658
758,2.327233334
759,2.263010039
760,2.20863887
761,2.149152766
762,2.080527567
763,2.015465326
764,1.954612457
765,1.900724451
766,1.844802769
767,1.790887676
768,1.737921338
769,1.69325881
770,1.651537717
771,1.609864208
772,1.566618224
773,1.524521582
774,1.483162861
775,1.439389937
776,1.392386851
777,1.345116416
778,1.303807036
779,1.259114127
780,1.221083737
